address,city,zip,tract
10 BOSTON ST,seattle,98109,68
100 4TH AVE N,seattle,98109,72
100 4TH AVE N #120,seattle,98109,72
1000 2ND AVE,seattle,98104,81
1000 E PIKE ST,seattle,98122,75
1000 NE NORTHGATE WAY,seattle,98125,12
10003 RAINIER AVE S,seattle,98118,119
1001 4TH AVE #510,seattle,98104,67
1001 ALASKAN WAY,seattle,98104,81
1001 E PINE ST,seattle,98122,75
1001 FAIRVIEW AVE N #1800,seattle,98109,66
10055 16TH AVE SW,seattle,98146,266
1007 BOREN AVE,seattle,98104,83
1010 MADISON ST,seattle,98104,83
10119 AURORA AVE N,seattle,98133,13
1016 MADISON ST,seattle,98104,83
102 1ST AVE S,seattle,98104,92
102 LAKESIDE AVE S,seattle,98122,89
1023 ALASKAN WAY,seattle,98104,81
10230 16TH AVE SW,seattle,98146,268.01
10231 16TH AVE SW,seattle,98146,266
1024 E Pike ST,seattle,98122,75
1024 S BAILEY ST,seattle,98108,109
1028 1ST AVE S,seattle,98104,81
103 1ST AVE S,seattle,98104,92
103 YESLER WAY,seattle,98104,92
10406 16TH AVE SW,seattle,98146,268.01
10410 HOLMAN RD NW,seattle,98133,17.02
1043 S JACKSON ST #104,seattle,98104,91
1046 1ST AVE S,seattle,98134,93
105 W MERCER ST,seattle,98119,71
10601 S 16th AVE SW,seattle,98146,267
10641 16TH AVE SW,seattle,98146,267
107 1ST AVE S,seattle,98104,92
107 Pike ST,seattle,98101,81
109 YESLER WAY,seattle,98104,92
110 12TH AVE,seattle,98122,86
110 BOREN AVE S,seattle,98144,91
1100 PIKE ST,seattle,98101,83
1100 WESTERN AVE,seattle,98101,81
11001 35TH AVE NE,seattle,98125,10
1101 ALASKAN WAY,seattle,98101,81
1101 ALASKAN WAY 201,seattle,98101,81
1101 E PIKE ST,seattle,98122,83
1102 N 34TH ST,seattle,98103,54
11064 LAKE CITY WAY NE,seattle,98125,10
111 NE 45TH ST,seattle,98105,52
1111 3RD AVE #1,seattle,98101,81
1112 4TH AVE,seattle,98101,81
1112 PIKE ST,seattle,98101,83
1113 6TH AVE,seattle,98101,82
1117 12TH AVE,seattle,98122,86
1118 E PIKE ST,seattle,98122,75
1120 HOWELL ST,seattle,98101,73
1125 E OLIVE ST STE A,seattle,98122,75
1140 NW MARKET ST,seattle,98107,47
115 BROADWAY AVE E,seattle,98102,74.02
11546 15TH AVE NE,seattle,98125,7
1165 HARRISON ST,seattle,98109,73
1170 REPUBLICAN ST #B,seattle,98109,73
11728 AURORA AVE N,seattle,98133,6
11730 PINEHURST WAY NE,seattle,98125,7
118 CHERRY ST,seattle,98104,81
118 W MERCER ST,seattle,98119,70
11805 RENTON AVE S,seattle,98178,261
120 BLANCHARD ST,seattle,98121,80.01
1200 3rd AVE #110,seattle,98101,81
1200 3RD AVE 120,seattle,98101,81
1200 5TH AVE,seattle,98101,82
1200 NE 45TH ST,seattle,98105,53.01
1200 S JACKSON ST,seattle,98144,90
1200 S JACKSON ST #8,seattle,98144,90
1201 3RD AVE #210,seattle,98101,81
1207 S JACKSON ST,seattle,98144,90
1207 S JACKSON ST #110B,seattle,98144,90
1207 S JACKSON ST B101,seattle,98144,90
1208 MADISON ST,seattle,98104,84
121 E BOSTON ST,seattle,98102,66
1211 PINE ST,seattle,98101,84
1212 2ND AVE,seattle,98101,81
1212 S MAIN ST #A,seattle,98144,90
1213 MADISON ST,seattle,98104,84
1219 E JEFFERSON ST,seattle,98122,86
1220 HOWELL ST,seattle,98101,73
1221 E PIKE ST,seattle,98122,75
1221 MADISON ST,seattle,98104,75
1223 E CHERRY ST,seattle,98122,86
1224 1ST AVE,seattle,98101,81
12248 AURORA AVE N STE B,seattle,98133,6
1225 4TH AVE,seattle,98101,81
1226 S JACKSON ST,seattle,98144,90
12306 LAKE CITY WAY NE,seattle,98125,7
12319 ROOSEVELT WAY NE,seattle,98125,6
12325 30TH AVE NE,seattle,98125,7
12336 31ST AVE NE,seattle,98125,7
12343 LAKE CITY WAY NE,seattle,98125,7
12354 15TH AVE NE STE C,seattle,98125,7
