,address,city,zip,State
0,1416 34TH AVE,seattle,98122.0,WA
1,3222 MCGRAW ST W A,seattle,98199.0,WA
12,6413 ROOSEVELT WAY NE ,seattle,98115.0,WA
21,1900 W NICKERSON ST #108,seattle,98119.0,WA
22,1900 W NICKERSON ST STE 102,seattle,98119.0,WA
39,700 3RD AVE ,seattle,98104.0,WA
49,1805 QUEEN ANNE AVE N #100,seattle,98109.0,WA
55,316 VIRGINIA ST ,seattle,98121.0,WA
64,4822 CALIFORNIA AVE SW,seattle,98116.0,WA
77,4213 SW COLLEGE ST,seattle,98116.0,WA
81,1604 N 34TH ST ,seattle,98103.0,WA
87,1314 S JACKSON ST ,seattle,98144.0,WA
98,1933 1ST AVE ,seattle,98101.0,WA
107,2715 E CHERRY ST #B,seattle,98122.0,WA
117,701 5TH AVE ,seattle,98104.0,WA
123,2200 WESTLAKE AVE ,seattle,98121.0,WA
133,2701 E MADISON ST,seattle,98112.0,WA
140,2805 E MADISON ST ,seattle,98112.0,WA
150,7850 GREENLAKE DR N ,seattle,98103.0,WA
162,420 BROADWAY AVE E ,seattle,98102.0,WA
166,1415 NW 70TH ST,seattle,98117.0,WA
174,1435 1ST AVE ,seattle,98101.0,WA
186,2121 QUEEN ANNE AVE N ,seattle,98109.0,WA
200,2616 2ND AVE ,seattle,98121.0,WA
203,615 S KING ST ,seattle,98104.0,WA
207,7311 AURORA AVE N ,seattle,98103.0,WA
219,89 UNIVERSITY ST,seattle,98101.0,WA
223,12325 30TH AVE NE ,seattle,98125.0,WA
233,6540 CALIFORNIA AVE SW ,seattle,98136.0,WA
237,401 WESTLAKE AVE N,seattle,98109.0,WA
241,11805 RENTON AVE S ,seattle,98178.0,WA
250,851 NW 85TH ST ,seattle,98117.0,WA
260,14553 BOTHELL WAY NE ,shoreline,98155.0,WA
269,509 15TH AVE E ,seattle,98112.0,WA
281,1614 W DRAVUS ST,seattle,98119.0,WA
288,7500 35TH AVE NE ,seattle,98115.0,WA
297,4100 BEACH DR SW ,seattle,98116.0,WA
309,1830 MINOR AVE,seattle,98101.0,WA
316,340 WESTLAKE AVE N ,seattle,98109.0,WA
326,41 DRAVUS ST ,seattle,98109.0,WA
334,350 15TH AVE E ,seattle,98112.0,WA
346,1010 MADISON ST ,seattle,98104.0,WA
349,2605 E CHERRY ST ,seattle,98122.0,WA
360,14340 15TH AVE NE ,seattle,98125.0,WA
367,2020 WESTERN AVE ,seattle,98121.0,WA
376,8420 GREENWOOD AVE N,seattle,98103.0,WA
378,2968 EASTLAKE AVE,seattle,98102.0,WA
382,2228 2ND AVE,seattle,98121.0,WA
383,93 PIKE ST ,seattle,98101.0,WA
391,401 NE NORTHGATE WAY ,seattle,98125.0,WA
392,401 NE NORTHGATE WAY 1102,seattle,98125.0,WA
409,8617 35TH AVE NE ,seattle,98115.0,WA
417,6459 CALIFORNIA AVE SW ,seattle,98136.0,WA
425,1414 NE 42ND ST #103B,seattle,98105.0,WA
431,170 S KING ST ,seattle,98104.0,WA
441,9452 35TH AVE SW ,seattle,98126.0,WA
446,526 QUEEN ANNE AVE N,seattle,98109.0,WA
447,5807 4TH AVE S,seattle,98108.0,WA
455,4920 S GENESEE ST,seattle,98118.0,WA
463,2323 2ND AVE ,seattle,98121.0,WA
