restaurant_id,restaurant_name,rating,review_count,locality,street_address,categories
nxeMvqQDJ5ocA4toqRE3CQ,Ximaica,3,4,Seattle,2224 2nd Avenue,[u'Restaurants']
oyxW3ZP60Z9b7F3LciaCjQ,XO Bistro,5,5,Seattle,2359 10th Ave E,"[u'French', u'Restaurants']"
0iyzWPc4C58sAJUAAE-BIg,Xplosive Mobile Food Truck,4,11,Seattle,,"[u'Food', u'Vietnamese', u'Food Trucks', u'Filipino', u'Restaurants']"
1IMivcKgsN8xUL5dFKQK3w,Yoshino Teriyaki,3.5,35,Seattle,1010 Madison St,"[u'Japanese', u'Restaurants']"
OYRdDA88AkyUlUmriMGWxw,Yoroshiku 4649 Japanese Restaurant,4,20,Seattle,1913 N 45th St,"[u'Japanese', u'Restaurants']"
bstkaW67SgfoDskqkwhjSg,Yoshinobo Japanese Restaurant,3.5,3,Seattle,520 S Jackson St,"[u'Japanese', u'Restaurants']"
1XRbtxyDVVMvALaipvNOTw,Yoshino Teriyaki,3,33,Seattle,812 12th Ave,"[u'Japanese', u'Restaurants']"
wNCTJhE4IxwVBNwAiuDTbQ,Yoshio's Teriyaki,4,8,Seattle,3860 Delridge Way SW,"[u'Japanese', u'Restaurants']"
IbRT1K1TQ7mFXjlIZ9onUw,Young's Restaurant,4,17,Seattle,9413 16th Ave SW,"[u'American (Traditional)', u'Chinese', u'Restaurants']"
0rqp9CbHsZZEw1UOUHInWg,Yu Shan,3,60,Seattle,14553 Bothell Way NE,"[u'Chinese', u'Restaurants']"
UbmzPfNT702t0HkcTeJ2gA,Yum Yum Teriyaki,4,12,Seattle,10641 16th Ave SW,"[u'Japanese', u'Chinese', u'Restaurants']"
7ja9CVqJQsEIYudjoALQQw,Yummy Bowl,3.5,26,Seattle,215 Pine St,"[u'Korean', u'Restaurants']"
NtNAjOsre1y4rPsZ9UJ0yA,Yummy Bites,2.5,45,Seattle,4131 University Way NE,"[u'Asian Fusion', u'Korean', u'Sandwiches', u'Restaurants']"
Bb0ck0528wWaTIgYWBdXLg,Yummy Cafe,3.5,50,Seattle,4008 NE 55th St,"[u'Chinese', u'Restaurants']"
Y9vHaGsQE-o3aMeKZoSqRA,Yummy Crepe,3.5,17,Seattle,400 Pine St,"[u'Food', u'Desserts', u'Creperies', u'Restaurants']"
AzdzijfhYuogfJBbjYRN1A,Yummy Teriyaki,3.5,59,Seattle,622 1st Ave N,"[u'Japanese', u'Restaurants']"
ZriNDCVxkCdVEO-X2sjHFw,Yummy Teriyaki,4,25,Seattle,4746 California Ave SW,"[u'Japanese', u'Restaurants']"
